created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username
Thu May 25 18:37:30 +0000 2023;1661803694042787800;1661803694042787843;"Kemaren pas nonton nct world liat lucas seneng sedih, sekarang ditambah sungtaro.";0;1;0;0;;in;1661555881107148800;1661803326252658700;1661803326252658690;"";"";ijneyhhyenji
Thu May 25 18:23:03 +0000 2023;1661800060223619000;1661800060223619072;"uc sungchan sold❌\njisung nabi sold❌\nrenjun hello sold❌";0;0;0;0;;in;1427078970021879809;1658879614926860300;1658879614926860295;"";"";yupishine
Tue May 16 05:26:50 +0000 2023;1658343227781677000;1658343227781677056;"Help rt\n\nWTS ALBUM ONLY NCT DREAM \n\nPrice :\nGLIMO : 37K\nCANDY : 45k\n✨️ Take all 80k\n\n🎀 Incld all\n🎀 minus printilan+ beberapa sobekan kecuali glimo masih ada poster dalem album\n🎀 Take all Splitpay ya sisain 45k untuk CO\n🎀 Condi Glimo 80% Candy 90%\n\n🏠 Karawang, Jabar https://t.co/Xp6fNxOlQQ";2;3;24;5;;in;1646407636420796416;1658343227781677000;1658343227781677056;"https://pbs.twimg.com/media/FwOeYHQaYAEJBqh.jpg";"photo";haeJarcvh
Thu May 25 18:31:13 +0000 2023;1661802113889075200;1661802113889075201;"sbt! sender gak collect nct tapi penasaran bgt krn bbrp kali lewat tl di retweet mutuals. ini tuh pc nct apa ya? dan kenapa kok harganya bisa mahal bgt sampai 5 juta ke atas? (pic credit to respectful owner) https://t.co/SqfTNtuu6C";0;5;0;0;;in;1499776837811343362;1661802113889075200;1661802113889075201;"https://pbs.twimg.com/media/Fw_oNjxaMAAZuX1.jpg";"photo";sbtcon
Wed May 24 10:28:48 +0000 2023;1661318322397536300;1661318322397536261;"NCTZEN TERUTAMA NCTZEN INDO gw tau kalian kecewa sama SM,kalian boleh minta apapun itu ke SM TAPI BISA GAK KALIAN TUH GAK USAH SALPAK ????!!!! INI LAPAK EXO-L KARNA INI POSTINGAN TENTANG CHEN,JAUH JAUH KALIAN TUH TOLONG RESPECT PLEASE 🙏🙏🙏 https://t.co/l2PiHEPwps";628;182;1317;6477;;in;1311118496487501824;1661318322397536300;1661318322397536261;"https://pbs.twimg.com/media/Fw4wHC-agAI8Nnf.jpg";"photo";kim_ninibear94
Thu May 25 18:23:23 +0000 2023;1661800143547691000;1661800143547691008;"Enih gk tau djj atau nct intinya gw stress sendiri. TP GK TW YH https://t.co/kaRznezicK";0;0;0;0;;in;1419564246719864834;1661799491132084200;1661799491132084227;"https://pbs.twimg.com/media/Fw_mafNaIAA93nI.jpg";"photo";diveintojjh
Thu May 25 18:23:40 +0000 2023;1661800214808916000;1661800214808915969;"Taeyong NCT Rilis Foto Teaser Terbaru untuk Mini Album Solo Pertamanya ‘SHALALA’\n\n#TAEYONG #태용 #SHALALA #NCT #NCT127 #TAEYONG_SHALALA #NCT_TAEYONG_SHALALA \n\nBaca selengkapnya disini:\n\nhttps://t.co/ctddl7dx01";0;0;0;1;;in;1551478445019803651;1661800214808916000;1661800214808915969;"";"";klikkoran_korea
Thu May 25 18:25:03 +0000 2023;1661800560390013000;1661800560390012955;"haruto no nct japan vei";0;0;0;0;;in;1216479871091859456;1661800560390013000;1661800560390012955;"";"";yeosangel
Thu May 25 18:24:10 +0000 2023;1661800340101165000;1661800340101165056;"@luminouxx @nct_menfess berasa diliatin gasih huhuhu buka hp pasti senyum-senyum sendiri";0;0;0;0;;in;1477521799671779329;1661793933423431700;1661793933423431680;"";"";blackrses
Thu May 25 18:35:00 +0000 2023;1661803066281296000;1661803066281295873;"kuy! wts all about taeyong, jeno and jungwoo nct ◡̈ dom jakarta — @ikeuzs";1;0;0;0;;in;1300765956331847680;1661803066281296000;1661803066281295873;"";"";sellkpopdata
Thu May 25 18:36:51 +0000 2023;1661803530351681500;1661803530351681536;"Kuy- WTS ALBUM ONLY NCT DREAM TAKE ALL JADI 70K AJA UDAH INCDL SEMUA (pack+admin)Free poscard sg23";0;0;0;0;;in;633016230;1661803530351681500;1661803530351681536;"";"";sellkpopfess
Thu May 25 18:10:38 +0000 2023;1661796934334521300;1661796934334521344;"𓇡🌟◌𝚆𝙴𝚅𝙴𝚁𝚂𝙴 𔓕 23.05.26\n\nActualización de #HOSHI:\n⇰"Dicen que el tiempo pasa rápido cuando estás feliz"\n\nTraducción completa en las imágenes 👇 \n________\n@Pledis_17 #Seventeen #세븐틴\n©eng:hoshzone/esp: BaksuSVTven \n◌ WindDancer 🌬️ https://t.co/XchwdTzcYQ";2;0;4;9;;es;1138284388427452416;1661796934334521300;1661796934334521344;"https://pbs.twimg.com/media/Fw_jfrBXwAAZ7eA.jpg";"photo";BaksuSVTven
Thu May 25 18:28:56 +0000 2023;1661801540808753200;1661801540808753157;"@ntgeminii Pindah pindah akun terus mafya ya?";0;0;0;0;;in;2953781437;1661340251674255400;1661340251674255362;"";"";RENJU7NCT
Thu May 25 18:32:52 +0000 2023;1661802531272417300;1661802531272417280;"Horanghaeee🥺♥️";0;0;0;0;;in;1218344855639875585;1661802531272417300;1661802531272417280;"";"";Catwonu17
Thu May 25 18:34:16 +0000 2023;1661802882352685000;1661802882352685056;"kuy- wts all about taeyong, jeno and jungwoo nct ◡̈ dom jakarta — @ikeuzs";0;1;0;0;;in;633016230;1661802882352685000;1661802882352685056;"";"";sellkpopfess
Thu May 25 18:35:57 +0000 2023;1661803304698138600;1661803304698138624;"Lika liku ku menjadi fans artis sm\nikutin exo dari ot12 galama kemudian di tinggal 3 member, suka nct "a whole nct" eh di tinggal juga huftttt, harus nanggepin pake helaan napas lagi😌, tapi rata rata artis sm kusuka si, terlebih lagu lagunya🥰💕";0;0;0;0;;in;1516817058440175623;1661803304698138600;1661803304698138624;"";"";loeyday27
Thu May 25 18:31:30 +0000 2023;1661802186433781800;1661802186433781760;"@junyrisd @nct_menfess Mjb bella siapa sih";0;0;0;0;;in;596236046;1661720346771472400;1661720346771472384;"";"";cleociaobella
Thu May 25 18:38:21 +0000 2023;1661803908577255400;1661803908577255425;"@sbtcon hi, ini namanya special yearbook aka syb &amp; spc universe card aka suc dia ada di album nct universe. nah knp bisa mahal? karena dia very limited qty &amp; dia tampilannya holo gt jd keliatan cantik banget, gituu deh🤩";0;0;0;0;;in;1522336300635803648;1661802113889075200;1661802113889075201;"";"";nvienrose
Thu May 25 18:29:03 +0000 2023;1661801569686532000;1661801569686532097;"@nct_menfess dia kayaknya udh mendem banget pengen jadi Spiderman😭😭 tapi jujur nih, gue sama Mark punya kesamaan sama kalo ada kek gituan, tingkat penasaran manjat tinggi brtoll🙂🙂 alhasil nyoba dan yahh, gue mesthi dikira monyet🙂";0;0;0;0;;in;1640168253933879296;1661765591630508000;1661765591630508033;"";"";Call_me_g82
Thu May 25 18:31:03 +0000 2023;1661802073716064300;1661802073716064258;"@dagangkorea Album sticker sm AR Ticket NCT cmn 100k aja nih ka 🤧\nhttps://t.co/9MxD6u3Qnd\nhttps://t.co/hfhDqkyYTC";0;0;0;0;;in;68075996;1661772866189422600;1661772866189422593;"";"";febe0215
Thu May 25 18:29:53 +0000 2023;1661801779657605000;1661801779657605120;"Stres, gua tau lu pada kesel sama woy gua jg karna gua suka nct tapi tau sikon lah anjir ini tuh lapak nya exo gila aja lu pada, orang mah komen yg positif ge anying, kesel bgt gua";0;0;0;0;;in;1339471136527065088;1661801779657605000;1661801779657605120;"";"";dohkys_
Thu May 25 18:30:41 +0000 2023;1661801982187765800;1661801982187765790;"Campus Festival hehe ✨ https://t.co/5TnxSTUagZ";0;0;0;3;;in;1001860197965615104;1661801982187765800;1661801982187765790;"https://pbs.twimg.com/media/Fw_oFDTX0AA7HJc.jpg";"photo";lane_laurajane
Thu May 25 18:35:10 +0000 2023;1661803107830075400;1661803107830075392;"@nct_menfess Salting berjamaah 😭";0;0;0;0;;in;2440078123;1661782968359325700;1661782968359325696;"";"";lm___jasminee
Tue May 23 10:00:00 +0000 2023;1660948687546118100;1660948687546118145;"⭐ AESPA MY WORLD LUCKY DRAW EVENT ⭐  \n\nReservation &amp; Pre-Order start May 24, 5:00 PM - June 14, 11:59 PM PHT  \n\nOFFLINE LUCKY DRAW EVENT◢ \nSite: https://t.co/ztyOsDQJnP \nDraw Date: June 17 - July 1  \n\nONLINE LUCKY DRAW◢ \nShopee: https://t.co/xiquEKJIi8 \nLazada:… https://t.co/9KD5f2HYka";29;1;76;1270;;en;410432253;1660948687546118100;1660948687546118145;"https://pbs.twimg.com/media/FwzdlqpWwAUqWjX.jpg";"photo";CNAPhils
Thu May 25 18:14:45 +0000 2023;1661797970650755000;1661797970650755072;"@starfess Awal awal kenal nct aku suka julidin dia, kek "ih mukanya serem njer kek gangster kek jamet lagi." eh taunya sekarang sayang beut sama Abang gangster jamet satu nih https://t.co/U3XASvBjtl";0;0;0;0;;in;1488873330627153928;1661731687326441500;1661731687326441475;"https://pbs.twimg.com/media/Fw_kcnRaQAAZ0xC.jpg";"photo";navndr
Thu May 25 18:15:37 +0000 2023;1661798189681479700;1661798189681479681;"@nct_menfess Itu member baru? https://t.co/Yai8lCDkkN";0;0;0;0;;in;1444991987149520897;1661793933423431700;1661793933423431680;"https://pbs.twimg.com/media/Fw_kpbJagAEPtrb.jpg";"photo";huang1ee
Thu May 25 18:13:19 +0000 2023;1661797608443228200;1661797608443228160;"@nct_menfess ssg tu mukanya tebel bgt apa ya, ky ga ada malu malu nya anjir. stress";0;0;0;0;;in;1260660091474198530;1661700499794718700;1661700499794718720;"";"";piwpiwut
Thu May 25 18:22:19 +0000 2023;1661799875149975600;1661799875149975552;"@maarkiiee_ @nct_menfess anjay pilihan sulit";0;0;0;0;;in;1590739639190507524;1661713174956220400;1661713174956220417;"";"";yowkayishere
Thu May 25 18:13:04 +0000 2023;1661797545373479000;1661797545373478912;"Woii ini beneran NCT DJJ bkalan ke andara?!!";0;0;0;0;;in;979767584;1661797545373479000;1661797545373478912;"";"";zafirah_dw
Thu May 25 18:19:32 +0000 2023;1661799174231449600;1661799174231449601;"@nct_menfess Btw yg dream konten wahana itu nonton dimna sihh";0;0;0;0;;in;1176141643784712193;1661793933423431700;1661793933423431680;"";"";shellikeey
Thu May 25 18:22:23 +0000 2023;1661799890467573800;1661799890467573760;"NCT 127 minggu ini di thailand, Blackpink juga Encore di thailand. samperin apa yaa, kangen dua duanya😌🥲";0;0;0;0;;in;1654720763596005376;1661799890467573800;1661799890467573760;"";"";sunsfl__
Thu May 25 18:17:33 +0000 2023;1661798675021197300;1661798675021197314;"@nct_menfess itu caranya gmn kok bisa gtu😭😭";0;0;0;0;;in;1493189415669166082;1660250777640910800;1660250777640910850;"";"";synxinsoo
Thu May 25 18:16:47 +0000 2023;1661798480162222000;1661798480162222080;"@nct_menfess Yakin banget tuh lagu bakal diperformin lagi";0;0;0;0;;in;1486144224634765312;1661246045685444600;1661246045685444609;"";"";nayakere
Thu May 25 18:15:46 +0000 2023;1661798227010809900;1661798227010809856;"[🇮🇩INA GO OPEN SHARING] PO ARENA HOMME PLUS CHINA X NCT DREAM CHENLE JAEMIN MAGAZINE POSTER PHOTOCARD\n\n💰160.000/EACH\n💰130.000/EACH (MINIMAL 5)\n\n✅ BERSIH CHINA TERMASUK ONGKIR CHINA\n❌ EXC. AIR CARGO TAX (55-95K)\n📍JAKARTA\n\n#CHENLE #JAEMIN #CHENLExARENAHOMME #JAEMINxARENAHOMME https://t.co/WWmswBfIZ7";0;0;0;0;;in;1354436005;1661798227010809900;1661798227010809856;"https://pbs.twimg.com/media/Fw_krHCaMAAgIZd.jpg";"photo";neverens
Thu May 25 18:12:15 +0000 2023;1661797341526114300;1661797341526114305;"Kenal nct tahun 2016\nStan nct tahun 2021";0;0;0;0;;in;1525581982411149312;1661797341526114300;1661797341526114305;"";"";jaeminna_luv
Thu May 25 18:19:10 +0000 2023;1661799083672240000;1661799083672240128;"liat ini mau nangis :( pc shotaro pertama dan terakhir gue di nct 😔💔";0;0;0;0;;in;2382241855;1661799083672240000;1661799083672240128;"";"";mrdeisikseu
Thu May 25 18:17:21 +0000 2023;1661798625008291800;1661798625008291840;"wts neobong/nct lightstick second diharga 580k yaa💚, sekalian wts blackpink lightstick ver. 2, 350k💓nego langsung ke dm ajaa✌🏻";0;0;0;0;;in;1343734285098917890;1661798625008291800;1661798625008291840;"";"";sserarin
Thu May 25 18:20:41 +0000 2023;1661799464380641300;1661799464380641280;"@gwjeno Micah..";0;0;0;1;;in;1597973533728161792;1661759002282426400;1661759002282426368;"";"";bamb1slove
Thu May 25 18:21:27 +0000 2023;1661799655167127600;1661799655167127552;"Masih bertahan menahan nafsu nnton nct sauna, gk dlu🙏";0;0;0;0;;in;1219076383189585920;1661799655167127600;1661799655167127552;"";"";ajzarac
Thu May 25 18:16:46 +0000 2023;1661798479616966700;1661798479616966657;"@querenciaxyz Nct universe masih ada kak??";0;0;0;0;;in;1576604240990318592;1661338714541527000;1661338714541527041;"";"";ren230310
Thu May 25 18:14:21 +0000 2023;1661797871631614000;1661797871631613954;"@rrenjjune @starfess yahaha skrng klo blg org jepangnya nct udh pasti yuta lagi 😀😔";0;0;0;0;;in;1503170931304591360;1661731687326441500;1661731687326441475;"";"";sugaringdery
Thu May 25 18:18:07 +0000 2023;1661798818265038800;1661798818265038848;"@ha0urs betul, semua orang juga bingung. mungkin pas awal yg bikin konsep nct lagi mabok dan makin lama makin pusing sendiri 🙏🏻";0;0;0;0;;in;204290506;1661243575013900300;1661243575013900288;"";"";soopernini
Thu May 25 11:47:23 +0000 2023;1661700485932548000;1661700485932548096;"@nctzenbase Kenal nct pas kapan?";14;0;0;0;;in;1124541716441100288;1661699894388863000;1661699894388862976;"";"";ri_zennic30
Thu May 25 18:21:32 +0000 2023;1661799678416154600;1661799678416154624;"@nct_menfess yg belakang ikut pose";0;0;0;0;;in;1633168773644713986;1661793933423431700;1661793933423431680;"";"";0112deryryry
Thu May 25 18:12:51 +0000 2023;1661797494106497000;1661797494106497025;"@nct_menfess Jisung kaya 🤙🏽";0;0;0;0;;in;1525744883431903232;1661793933423431700;1661793933423431680;"";"";lanadelyel
Wed Jun 08 06:56:08 +0000 2022;1534429050462056400;1534429050462056448;"sedih karena akun ini ilang gabisa wtp pas dapet special card yuta😭😭 skrg aku mau pamer😭 https://t.co/QSnwWHmwFA";1;0;0;0;;in;2382241855;1534429050462056400;1534429050462056448;"https://pbs.twimg.com/media/FUtjFfAVsAAcOWe.jpg";"photo";mrdeisikseu
Thu May 25 18:11:09 +0000 2023;1661797065570291700;1661797065570291717;"@nct_menfess Itu ada member baru kahh???";0;0;0;0;;in;1272135594299121665;1661793933423431700;1661793933423431680;"";"";l0velyyourts
Thu May 25 18:03:34 +0000 2023;1661795155870118000;1661795155870117889;"jw itu kalo udh ngelawak bikin semua member nct kakinya lemes😭";0;0;0;0;;in;1648052196486029313;1661795155870118000;1661795155870117889;"";"";jeoowwoo
Thu May 25 18:03:45 +0000 2023;1661795201575448600;1661795201575448578;"AKU IRI AKU BILANG";1;0;0;0;;in;1108213984463749120;1661795201575448600;1661795201575448578;"";"";Gitxxzps
Thu May 25 18:10:02 +0000 2023;1661796783360712700;1661796783360712704;"Tak Lagi di NCT, Sungchan Juga Tulis Surat Untuk Fans https://t.co/WMNL28L48S";0;0;0;1;;in;337529500;1661796783360712700;1661796783360712704;"";"";DreamersRadioID
Thu May 25 18:07:20 +0000 2023;1661796104449712000;1661796104449712128;"@nct_menfess thanks nder infonya, langsung ku jadikan wallpaper hihi🫶🏻 https://t.co/UDlb5bLT84";0;1;0;1;;in;873450504717647872;1661793933423431700;1661793933423431680;"https://pbs.twimg.com/media/Fw_iv2-aUAEUMOl.jpg";"photo";luminouxx
Thu May 25 18:04:09 +0000 2023;1661795303798997000;1661795303798996993;"@nct_menfess Jaemin sama renjun santuyyy kaliii";0;0;0;0;;in;2910767834;1661793933423431700;1661793933423431680;"";"";na_bnnyjaem
Thu May 25 18:08:03 +0000 2023;1661796282753769500;1661796282753769472;"@nct_menfess lucuuu🤩";0;0;0;0;;in;1302826910817292288;1661793933423431700;1661793933423431680;"";"";jjpeachmilk
Thu May 25 18:05:38 +0000 2023;1661795677561815000;1661795677561815040;"@jichangmian TREASURE. STOP BERASUMSI GW DOYOUNG NCT!";0;0;0;0;;in;1419354645164478466;1661757863918981000;1661757863918981121;"";"";Smitheteens
Thu May 25 18:11:33 +0000 2023;1661797164278849500;1661797164278849537;"@nct_menfess Fotonya dari sini ya gaes https://t.co/MDdmbWdYmu";0;0;0;1;;in;1361510360319209472;1661793933423431700;1661793933423431680;"";"";raynnejun
Thu May 25 18:11:50 +0000 2023;1661797236966330400;1661797236966330368;"@nct_menfess yg pake leather jacket cowo akuuu";0;0;0;0;;in;1481834090899062788;1661793933423431700;1661793933423431680;"";"";lo0vlhae
Thu May 25 18:04:53 +0000 2023;1661795488184803300;1661795488184803329;"@caratstalk pas itu nonton nct 127 di yt dingo live gitu terus ada rekomendasi gitu dr yt yaitu svt krn gua uda tau kalo HOT itu lagu svt yauds gue kepo gua tonton lah, trs kepincut sm wonu dan akhirnya kepo svt gmn eh jd suka deh";0;0;0;0;;in;1127237477318553600;1661693626274189300;1661693626274189319;"";"";dooorpie
Thu May 25 18:09:58 +0000 2023;1661796768164741000;1661796768164741120;"@starfess Jaebum Got7, Dejun Wayv, Yuta Nct, Chan Skz, Baekho";0;0;0;0;;in;1428979569525096457;1661731687326441500;1661731687326441475;"";"";rraappZ
Thu May 25 18:07:03 +0000 2023;1661796032160874500;1661796032160874497;"Seriusan deh kalo emang mau buat bg baru, nct tokyo mending cancel aja anjir. Kayak buat apa? Cuman buat ditelantarin? Karena kalau mau debutin 2 bg disaat yg hampir sama itu kayaknya gamungkin bisa fokus promosii???????????? UDAH CUKUP AJA SAKIT HATI INI SELESAI DI SINI";0;0;0;0;;in;1486681414271602688;1661796032160874500;1661796032160874497;"";"";doy_ilichil
Thu May 25 18:05:03 +0000 2023;1661795530064773000;1661795530064773121;"@nct_menfess Ah ketinggalan";0;0;0;0;;in;1375883820663144448;1661716809962385400;1661716809962385413;"";"";xvyj3no
